union_name,union_category,tag,union_introduction
미팅놈들,친목,"친목, 맛집, 번개, 핫플, 연합, 술","미팅놈들(MEATing PEOPLE)은 맛집탐방 동아리입니다.
2021년 3월에 만들어져 238일만에 전국 1위를 달성하고
변함 없이 그 자리를 지켜오고 있습니다!

현재 전국 최대규모인 7,500명의 회원이 가입되어 있으며
★매일★ 번개모임이 성사됩니다!
마음이 끌리는 번개에 나가 맛집으로 향하시면 됩니다!"
HEBA,비즈니스,"프로젝트, 기획, 연합, 개발",HEBA는 Hanyang Entrepreneurial Business Activists의 약자로 한양대에서 시작한 연합동아리입니다. 서울권 대학교의 다양한 전공의 대학생 40명이 모여 실질적인 비즈니스 가치를 창출하는 도전적인 프로젝트를 기획하고 실행하고자 조직되었습니다. 열정과 능력을 갖춘 대학생들이 모여 단순히 대외활동 공모전을 준비하는 것이 아닌 실제 수익창출을 위한 비즈니스 프로젝트를 기획하고 실행합니다.
블루문,친목,"친목, 연합, 맛집, 보드게임, 술, 여행","블루문은 학교뿐만 아니라 인플루언서, 모델, 유튜버 등과 같이 다양한 분야에서 활동하는 대학생들이 모여 만든 친목 연합동아리입니다."
OUTTA,학술,"AI, 부트캠프, 블로그, 스터디, 멘토링, 개발, 데이터","OUTTA AI연구소에서 ""대중과 인공지능이 함께하는 세상""을 만들어갈 인재를 찾습니다
OUTTA는 대중(누구나, 모두가) 이러한 현재 사회에 발맞춤하는 인재가 되길 바라며, 대중과 인공지능이 친숙해지는 세상, 즉 인공지능의 대중화를 만들어 나갑니다.
🔑Let’s Be a Key🔑
OUTTA는 대중(누구나, 모두가)이 인공지능에 대한 자신만의 정의를 내릴 수 있게 하는 열쇠가 되고자 합니다."
MIMIC,학술,"수학, 스터디, 튜터링, 세미나, 번개","MIMIC은
MIMIC Is a Math Interchanging Club의 약자로 수학과 유일의 수학 학술동아리입니다.
"
노래날다,음악,"경기도, 버스킹, 노래, 정기공연, 번개","<노래날다:노날>은 경기·수원지역 아주대, 성균관대, 경기대, 단국대, 한신대, 수원대, 협성대 등 대학생들의 연합 노래동아리입니다."
햇,음악,"밴드, 수도권",현재 이화여대 재학생 세 명으로 이루어진 신생밴드입니다. 취미로 진행하고자 하는 밴드라 부담 없이 지원해주세요!
애니버스,애니메이션,"애니메이션, 덕질, 만화카페, 서브컬쳐","애니버스는 애니메이션(animation)의 '애니'와 버스(bus)를 합친 말로 애니메이션을 담은 버스라는 뜻입니다.

우리 동아리는 서로 좋아하는 애니를 서로 공유하고 추천해주면서 같이 덕질하는 서브컬쳐 동아리입니다.

서로 좋아하는 애니메이션 얘기하면서 같이 덕질하고, 서울에 있는 여러 굿즈샵 같이 가고, 만화카페도 같이 갈 수 있는 덕질메이트를 사귈 수 있는 기회라고 생각합니다☺️
또 기회가 된다면 애니 관련 행사(서울코믹월드 등)도 갈 예정입니다!

그리고 입덕하고 싶은 분들, 애니 추천받고 싶은 분들, 한 장르만 파는 분들도 환영입니다. 많은 관심과 지원 바랍니다"
아아밴드,음악,"밴드, 수도권, 서울, 악기","AHX2 밴드는 대학생 2명이 모여 만든 신생 밴드입니다! 저희 “아아밴드”와 함께 열심히 활동하실 분들을 모집합니다! 친목도 다지고 즐겁게 활동하는 것을 목표로 두고 있기 때문에 악보를 보고 연습하여 합주할 수 있는 정도의 실력이면 괜찮습니다:)

꾸준히 연습해서 내년에 축제 공연이나 버스킹도 목표로 하고 있습니다!"
응답없음,영상,"모션그래픽, 프로젝트, sns, 수도권",응답없음'은 모션그래픽 영상을 콘텐츠로 다루는 성균관대학교 19학번 학부생인 유튜버 '리틱'이 운영하는 연합 동아리입니다.
RTD,독서,"독서, 친목, 번개","RTD란?

- 'Read, Talk, Drink'의 약자로, 책과 이야기와 음료가 함께 하는 독서모임입니다.
- 카페나 바 등에서 함께 독서하고 책에 관한 서평과 감상을 나눕니다.
- Ready To Drink의 약자이기도 합니다. 번개로 카페&술 모임을 가지며 친목을 도모합니다.
- 정치, 시민단체, 종교, 금전적 목적과 관련 없는 대학생 및 사회인 자치 모임입니다."
파티피플,친목,"파티, 친목, 맛집 탐방","파티의 성지 미국에서는 여러 파티를 다니며 다양한 행사를 즐기는 사람들을 “파티피플”이라고 합니다.
파티피플은 서울, 수도권을 중심으로 간단한 소모임부터, 일일호프💃, 칵테일 모임🥂, 바베큐 축제🍗, 풀 파티🫧, 프롬파티🦹 등 다양한 행사를 진행하며 여러 대학의 사람들과 친목을 다지는 걸 목표로 하는 동아리입니다. 이색적인 컨텐츠🎈와 다양한 아이디어✨를 적극적으로 수용하고 있습니다! 이외에도 번개모임⚡️을 통해 동아리부원들과 함께 친목을 다질 수 있습니다. '͜'"
뒹굴리시,영어회화,"영어회화, 전화","뒹굴리시는 2020년에 창립된 4,000명 규모의 연합동아리입니다. 영어를 좋아하는 한국인 학생끼리 전화로 영어회화를 연습하는 동아리로서, 가입하시면 멤버 중 가장 적합한 파트너를 매칭해드려요!"
버들,음악,"밴드, 합주, 버스킹","안녕하세요 대학생 밴드동아리 ‘버들’입니다.
‘버들’은 밴드에 진심인 대학생 2명이 모여 만든 신생 동아리로, 밴드에 대한 열정이 가득한 분들과 함께 밴드를 만들어 나가고 싶습니다. 저희는 엄청난 실력을 가진 밴드보단 함께 성장하고 즐겁게 활동하는 밴드가 되는 것이 목표입니다. 따라서, 밴드 경험이 없거나 실력자가 아니라도 괜찮습니다. 악보를 볼 수 있고 연습해서 합주를 할 수 있는 정도라면 충분합니다!!

저희는 합주와 버스킹 공연을 주 활동으로, 두 달에 한 번 버스킹하는 것을 계획하고 있습니다. 합주곡은 세션 모집 후 함께 정할 예정이나, 버스커버스커, 데이식스, 볼빨간 사춘기. 데이브레이크 등 밝은 느낌의 음악들을 추구하기 때문에 비슷한 음악 취향을 가진 분이면 좋겠습니다. 너무 다른 장르를 생각하시는 분은 지원 시 참고 부탁드립니다."
사월,독서,"독서, 온라인, 소모임","일주일에 한 편, 단편소설을 읽고 이야기합니다. 모임은 총 4주 동안 진행됩니다. 일요일 오후 2시에 *온라인*으로 만나 각자의 감상을 나눠볼 예정입니다. (날짜 및 시간대는 시험기간 및 구성원 각자의 일정에 따라 조율 가능합니다.)
소설은 두 편만 미리 선정하였으며, 나머지 회차에는 구성원들의 의견을 반영하여 선정할 계획입니다."
